date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:17	1866587/1866587	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22618eb1cc-1c7b5b%22	https://mediaman.ma/assets/css/fonts/fa-regular-400.svg	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/fa-regular-400.svg	(from https://mediaman.ma/assets/css/vendor/font-awesome.css)
23:11:18	123060/123060	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Nov%202021%2013:35:54%20GMT	https://mediaman.ma/assets/css/fonts/fa-solid-900.html	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/fa-solid-900.html	(from https://mediaman.ma/assets/css/vendor/font-awesome.css)
23:11:18	164092/164092	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22618eb1d0-280fc%22	https://mediaman.ma/assets/css/fonts/fa-solid-900.woff	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/fa-solid-900.woff	(from https://mediaman.ma/assets/css/vendor/font-awesome.css)
23:11:19	4178/4178	---MCZ	200	added ('OK')	image/gif	etag:W/%22618eb1c4-1052%22	https://mediaman.ma/assets/css/fonts/ajax-loader.gif	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/ajax-loader.gif	(from https://mediaman.ma/assets/css/vendor/slick-theme.css)
23:11:19	338716/338716	---M--	200	added ('OK')	application/octet-stream	etag:%22618eb1d0-52b1c%22	https://mediaman.ma/assets/css/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/fa-solid-900.ttf	(from https://mediaman.ma/assets/css/vendor/font-awesome.css)
23:11:19	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22618eb1d2-800%22	https://mediaman.ma/assets/css/fonts/slick.eot	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/slick.eot	(from https://mediaman.ma/assets/css/vendor/slick-theme.css)
23:11:19	1522998/1522998	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22618eb1d0-173d36%22	https://mediaman.ma/assets/css/fonts/fa-solid-900.svg	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/fa-solid-900.svg	(from https://mediaman.ma/assets/css/vendor/font-awesome.css)
23:11:20	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22618eb1d2-800%22	https://mediaman.ma/assets/css/fonts/slickd41d.eot?	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/slickd41dd41d.eot	(from https://mediaman.ma/assets/css/vendor/slick-theme.css)
23:11:20	1380/1380	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22618eb1d2-564%22	https://mediaman.ma/assets/css/fonts/slick.woff	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/slick.woff	(from https://mediaman.ma/assets/css/vendor/slick-theme.css)
23:11:20	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%22618eb1d2-764%22	https://mediaman.ma/assets/css/fonts/slick.ttf	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/slick.ttf	(from https://mediaman.ma/assets/css/vendor/slick-theme.css)
23:11:21	2166/2166	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22618eb1d2-876%22	https://mediaman.ma/assets/css/fonts/slick.svg	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/css/fonts/slick.svg	(from https://mediaman.ma/assets/css/vendor/slick-theme.css)
23:11:22	393/393	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb218-189%22	https://mediaman.ma/assets/media/icon/message.png	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/media/icon/message.png	(from https://mediaman.ma/assets/css/app.css?ver=1.1.1)
23:11:22	12066/12066	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb23c-2f22%22	https://mediaman.ma/assets/media/others/designer-text.png	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/media/others/designer-text.png	(from https://mediaman.ma/assets/css/app.css?ver=1.1.1)
23:11:23	338/338	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb218-152%22	https://mediaman.ma/assets/media/icon/message-light.png	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/media/icon/message-light.png	(from https://mediaman.ma/assets/css/app.css?ver=1.1.1)
23:11:24	29880/29880	---M--	200	added ('OK')	application/octet-stream	etag:%226193e408-74b8%22	https://mediaman.ma/assets/avenir/AvenirArabic-Book.woff2	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/avenir/AvenirArabic-Book.woff2	(from https://mediaman.ma/assets/avenir/stylesheet.css)
23:11:24	41112/41112	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226193e408-a098%22	https://mediaman.ma/assets/avenir/AvenirArabic-Book.woff	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/avenir/AvenirArabic-Book.woff	(from https://mediaman.ma/assets/avenir/stylesheet.css)
23:11:24	30200/30200	---M--	200	added ('OK')	application/octet-stream	etag:%226193e408-75f8%22	https://mediaman.ma/assets/avenir/AvenirArabic-Medium.woff2	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/avenir/AvenirArabic-Medium.woff2	(from https://mediaman.ma/assets/avenir/stylesheet.css)
23:11:25	41528/41528	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226193e408-a238%22	https://mediaman.ma/assets/avenir/AvenirArabic-Medium.woff	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/avenir/AvenirArabic-Medium.woff	(from https://mediaman.ma/assets/avenir/stylesheet.css)
23:11:25	29548/29548	---M--	200	added ('OK')	application/octet-stream	etag:%226193e40a-736c%22	https://mediaman.ma/assets/avenir/AvenirArabic-Light.woff2	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/avenir/AvenirArabic-Light.woff2	(from https://mediaman.ma/assets/avenir/stylesheet.css)
23:11:25	40760/40760	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226193e40a-9f38%22	https://mediaman.ma/assets/avenir/AvenirArabic-Light.woff	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/avenir/AvenirArabic-Light.woff	(from https://mediaman.ma/assets/avenir/stylesheet.css)
23:11:26	1708957/1708957	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb1e6-1a139d%22	https://mediaman.ma/assets/media/banner/banner-bg-1.png	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/media/banner/banner-bg-1.png	(from https://mediaman.ma/assets/css/app.css?ver=1.1.1)
23:11:26	30532/30532	---M--	200	added ('OK')	application/octet-stream	etag:%226193e40a-7744%22	https://mediaman.ma/assets/avenir/AvenirArabic-Black.woff2	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/avenir/AvenirArabic-Black.woff2	(from https://mediaman.ma/assets/avenir/stylesheet.css)
23:11:26	42088/42088	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226193e40a-a468%22	https://mediaman.ma/assets/avenir/AvenirArabic-Black.woff	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/avenir/AvenirArabic-Black.woff	(from https://mediaman.ma/assets/avenir/stylesheet.css)
23:11:26	30580/30580	---M--	200	added ('OK')	application/octet-stream	etag:%226193e40a-7774%22	https://mediaman.ma/assets/avenir/AvenirArabic-Heavy.woff2	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/avenir/AvenirArabic-Heavy.woff2	(from https://mediaman.ma/assets/avenir/stylesheet.css)
23:11:27	13429/13429	---M--	200	added ('OK')	image/png	etag:%223475-5fdc21f1-159bb9;;;%22	http://kit.detheme.com/elysian/wp-content/uploads/sites/53/2020/12/rio-custompattern-1.png	C:/My%20Web%20Sites/REEED/kit.detheme.com/elysian/wp-content/uploads/sites/53/2020/12/rio-custompattern-1.png	(from https://mediaman.ma/assets/css/custom.css?v=1.012345)
23:11:28	41904/41904	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226193e40a-a3b0%22	https://mediaman.ma/assets/avenir/AvenirArabic-Heavy.woff	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/avenir/AvenirArabic-Heavy.woff	(from https://mediaman.ma/assets/avenir/stylesheet.css)
23:11:31	13863/13863	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb222-3627%22	https://mediaman.ma/assets/media/others/bubble-21.png	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/media/others/bubble-21.png	(from https://mediaman.ma/about)
23:11:37	32323/32323	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb23e-7e43%22	https://mediaman.ma/assets/media/others/line-4.png	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/media/others/line-4.png	(from https://mediaman.ma/about)
23:11:37	55949/55949	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb230-da8d%22	https://mediaman.ma/assets/media/others/bubble-9.png	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/media/others/bubble-9.png	(from https://mediaman.ma/about)
23:11:39	112838/112838	---M--	200	added ('OK')	image/png	etag:%221b8c6-5fdc54f8-159b25;;;%22	http://kit.detheme.com/elysian/wp-content/uploads/sites/53/2020/12/Rating-App-CMF3SF8.png	C:/My%20Web%20Sites/REEED/kit.detheme.com/elysian/wp-content/uploads/sites/53/2020/12/Rating-App-CMF3SF8.png	(from https://mediaman.ma/assets/css/custom.css?v=1.012345)
23:11:39	133327/133327	---MCZ	200	added ('OK')	image/png	etag:W/%22618eb1e8-208cf%22	https://mediaman.ma/assets/media/banner/banner-thumb-2.png	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/media/banner/banner-thumb-2.png	(from https://mediaman.ma/about)
23:11:39	532658/532658	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2261c06d2a-820b2%22	https://mediaman.ma/assets/media/team_S/Med-Gallab.jpg	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/media/team_S/Med-Gallab.jpg	(from https://mediaman.ma/about)
23:11:40	485550/485550	---MCZ	200	added ('OK')	image/png	etag:W/%2261b4d828-768ae%22	https://mediaman.ma/assets/media/about/about-2-r.png	C:/My%20Web%20Sites/REEED/mediaman.ma/assets/media/about/about-2-r.png	(from https://mediaman.ma/about)
